policy_file,category,deployed_name,graph_shape,workbook_row,workbook_policy_name,platform,cis_level,source,control_domain,nist_800_53_r5,iso_27001_2022,auditor_rationale,mapping_status,match_method,match_note
CISv3 - EDGE - L2 - Allow users to open files using the DirectInvoke  protocol,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Allow users to open files using the DirectInvoke  protocol,settings_catalog_policy,81,CISv3 - EDGE - L2 - Allow users to open files using the DirectInvoke  protocol,Edge,L2,CIS,Edge Browser Security,"CM-7, CM-11",8.9,DirectInvoke bypasses download safety checks — disabling has negligible user impact,mapped,exact,
CISv3 - EDGE - L2 - Allow users to proceed from the HTTPS  warning page,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Allow users to proceed from the HTTPS  warning page,settings_catalog_policy,82,CISv3 - EDGE - L2 - Allow users to proceed from the HTTPS  warning page,Edge,L2,CIS,Edge Browser Security,SC-8,8.20,Prevents bypass of certificate warnings — blocks users from proceeding to genuinely unsafe sites,mapped,exact,
CISv3 - EDGE - L2 - AutoLaunch Protocols Component Enabled,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - AutoLaunch Protocols Component Enabled,settings_catalog_policy,124,CISv3 - EDGE - L2 - AutoLaunch Protocols Component Enabled,Edge,L2,CIS,Edge Browser Security,SI-7,8.7,Governs auto-launch of external protocol handlers without a prompt - relevant given recent protocol-handler exploit activity.,mapped,exact,
CISv3 - EDGE - L2 - Block third party cookies,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Block third party cookies,settings_catalog_policy,157,CISv3 - EDGE - L2 - Block third party cookies,Edge,L2,CIS,Privacy & Data Governance,SC-8,8.20,"Low functional impact for most business apps, solid tracking-protection win.",mapped,exact,
CISv3 - EDGE - L2 - Browser sign-in settings,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Browser sign-in settings,settings_catalog_policy,84,CISv3 - EDGE - L2 - Browser sign-in settings,Edge,L2,CIS,Identity & Account Control,"IA-2, AC-2","8.5, 5.16",Forces users to sign in to Edge with their org account before browsing — ensures managed identity is always active. Deploy as-is.,mapped,exact,
CISv3 - EDGE - L2 - Configure Speech Recognition,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Configure Speech Recognition,settings_catalog_policy,174,CISv3 - EDGE - L2 - Configure Speech Recognition,Edge,L2,CIS,AI & Data Governance,-,-,Mic/audio data governance if cloud-based recognition is used.,mapped,exact,
CISv3 - EDGE - L2 - Configure extension management settings,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Configure extension management settings,settings_catalog_policy,85,CISv3 - EDGE - L2 - Configure extension management settings,Edge,L2,CIS,Identity & Account Control,"CM-7, CM-11","8.9, 8.19",Whitelists approved extensions and blocks all others — directly satisfies CM-7 and ISO 8.19. ⚠ REQUIRES CUSTOMISATION: Edit JSON to include customer-approved extension IDs before deploying.,mapped,exact,
CISv3 - EDGE - L2 - Control use of JavaScript JIT,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Control use of JavaScript JIT,settings_catalog_policy,171,CISv3 - EDGE - L2 - Control use of JavaScript JIT,Edge,L2,CIS,Attack Surface Reduction (ASR),SI-16,8.7,Genuine anti-exploit mitigation against JS-engine 0-days but can measurably hurt web-app performance - pilot before wide rollout.,mapped,exact,
CISv3 - EDGE - L2 - Control use of the File System API for reading,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Control use of the File System API for reading,settings_catalog_policy,160,CISv3 - EDGE - L2 - Control use of the File System API for reading,Edge,L2,CIS,Malware Protection,CM-7,8.9,"Default-restrict, allow-list only trusted sites.",mapped,exact,
CISv3 - EDGE - L2 - Control use of the Headless Mode,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Control use of the Headless Mode,settings_catalog_policy,155,CISv3 - EDGE - L2 - Control use of the Headless Mode,Edge,L2,CIS,Edge Browser Security,SI-7,8.7,"Blocks headless Edge launches, used by automation-based credential-theft tooling.",mapped,exact,
CISv3 - EDGE - L2 - Control use of the Serial API,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Control use of the Serial API,settings_catalog_policy,161,CISv3 - EDGE - L2 - Control use of the Serial API,Edge,L2,CIS,Attack Surface Reduction (ASR),CM-7,8.9,Reduces exposure to exotic web-based device attacks.,mapped,exact,
CISv3 - EDGE - L2 - Control use of the Web Bluetooth API,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Control use of the Web Bluetooth API,settings_catalog_policy,162,CISv3 - EDGE - L2 - Control use of the Web Bluetooth API,Edge,L2,CIS,Attack Surface Reduction (ASR),CM-7,8.9,Same rationale as Serial API.,mapped,exact,
CISv3 - EDGE - L2 - Control use of the WebHID API,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Control use of the WebHID API,settings_catalog_policy,163,CISv3 - EDGE - L2 - Control use of the WebHID API,Edge,L2,CIS,Attack Surface Reduction (ASR),CM-7,8.9,Same rationale as Serial/Bluetooth APIs.,mapped,exact,
CISv3 - EDGE - L2 - Control where security restrictions on insecure  origins apply,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Control where security restrictions on insecure  origins apply,settings_catalog_policy,156,CISv3 - EDGE - L2 - Control where security restrictions on insecure origins apply,Edge,L2,CIS,Network Security,SC-8,8.20,"Ensures insecure-origin exceptions are IT-controlled, not user-added.",mapped,whitespace,
CISv3 - EDGE - L2 - Default sensors setting,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Default sensors setting,settings_catalog_policy,170,CISv3 - EDGE - L2 - Default sensors setting,Edge,L2,CIS,Privacy & Data Governance,-,-,Restricts device sensor access by default.,mapped,exact,
CISv3 - EDGE - L2 - Default setting for third-party storage  partitioning,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Default setting for third-party storage  partitioning,settings_catalog_policy,175,CISv3 - EDGE - L2 - Default setting for third-party storage partitioning,Edge,L2,CIS,Privacy & Data Governance,-,-,Generally safe to enable; low risk either way.,mapped,whitespace,
CISv3 - EDGE - L2 - Enable guest mode,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Enable guest mode,settings_catalog_policy,79,CISv3 - EDGE - L2 - Enable guest mode,Edge,L2,CIS,Edge Browser Security,"IA-2, CM-7",8.5,Disables unmanaged guest browsing sessions within Edge — no impact on standard users,mapped,exact,
CISv3 - EDGE - L2 - Enforce Bing SafeSearch,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Enforce Bing SafeSearch,settings_catalog_policy,168,CISv3 - EDGE - L2 - Enforce Bing SafeSearch,Edge,L2,CIS,Privacy & Data Governance,-,-,Easy auditor-facing content-safety win.,mapped,exact,
CISv3 - EDGE - L2 - Enforce Google SafeSearch,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Enforce Google SafeSearch,settings_catalog_policy,169,CISv3 - EDGE - L2 - Enforce Google SafeSearch,Edge,L2,CIS,Privacy & Data Governance,-,-,Covers searches routed through Google via Edge.,mapped,exact,
CISv3 - EDGE - L2 - Enhanced Security Mode configuration for  Intranet zone sites,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Enhanced Security Mode configuration for  Intranet zone sites,settings_catalog_policy,172,CISv3 - EDGE - L2 - Enhanced Security Mode configuration for Intranet zone sites,Edge,L2,CIS,Network Security,SC-8,8.20,Can break internal legacy web apps - test against customer's internal app inventory first.,mapped,whitespace,
CISv3 - EDGE - L2 - Show an Always open checkbox in external  protocol dialog,11_Microsoft_Edge_CIS_Benchmark,"CISv3 - EDGE - L2 - Show an ""Always open"" checkbox in external  protocol dialog",settings_catalog_policy,159,CISv3 - EDGE - L2 - Show an Always open checkbox in external protocol dialog,Edge,L2,CIS,Edge Browser Security,SI-7,8.7,Prevents permanent allow-listing of a protocol handler without re-prompting - complements AutoLaunch Protocols control.,mapped,whitespace,
CISv3 - EDGE - L2 - Specify if online OCSPCRL checks are  required for local trust anchors,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Specify if online OCSP/CRL checks are  required for local trust anchors,settings_catalog_policy,83,CISv3 - EDGE - L2 - Specify if online OCSPCRL checks are  required for local trust anchors,Edge,L2,CIS,Edge Browser Security,SC-8,8.24,"Enforces certificate revocation checking — invisible to users, strengthens PKI integrity for SC-8 and ISO 8.24",mapped,exact,
CISv3 - EDGE - L2 - Spell checking provided by Microsoft Editor,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Spell checking provided by Microsoft Editor,settings_catalog_policy,173,CISv3 - EDGE - L2 - Spell checking provided by Microsoft Editor,Edge,L2,CIS,AI & Data Governance,-,-,Cloud-based spellcheck sends typed text to Microsoft - DLP consideration for security-conscious customers.,mapped,exact,
CISv3 - EDGE - L2 - Supported authentication schemes,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Supported authentication schemes,settings_catalog_policy,158,CISv3 - EDGE - L2 - Supported authentication schemes,Edge,L2,CIS,Credential Protection,IA-5,8.5,Restrict to secure auth schemes; drop legacy schemes not required by the customer's apps.,mapped,exact,
Baseline -  WHFB Exclude Security Devices TPM 1.2 ,12_Passwordless_Authentication,Baseline -  WHFB Exclude Security Devices TPM 1.2 -1 ,legacy_device_configuration,101,Baseline - WHFB Exclude Security Devices TPM 1.2,Windows 11,L2,WHFB,Passwordless Authentication,IA-2,8.5,Compatibility companion - only needed where TPM 1.2 devices remain in the fleet.,mapped,whitespace,
Baseline - Enables FIDO Security Keys to be used during Windows Sign In -1,12_Passwordless_Authentication,Baseline - Enables FIDO Security Keys to be used during Windows Sign In -1,legacy_device_configuration,104,Baseline - Enables FIDO Security Keys to be used during Windows Sign In,Windows 11,L2,FIDO,Passwordless Authentication,"IA-2, IA-5",8.5,Customer-driven - relevant where hardware security keys are being issued.,mapped,punctuation,
Baseline - WHFB Disable Post Logon Provisioning,12_Passwordless_Authentication,Baseline - WHFB Disable Post Logon Provisioning - 1,legacy_device_configuration,102,Baseline - WHFB Disable Post Logon Provisioning,Windows 11,L2,WHFB,Passwordless Authentication,IA-2,8.5,Companion hardening setting for WHFB rollout.,mapped,exact,
Baseline - WHFB Muti-Factor unlock Template config,12_Passwordless_Authentication,Baseline - WHFB Muti-Factor unlock Template config,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
Baseline - WHFB Require Security Device,12_Passwordless_Authentication,Baseline - WHFB Require Security Device - 1,legacy_device_configuration,100,Baseline - WHFB Require Security Device,Windows 11,L2,WHFB,Passwordless Authentication,"IA-2, IA-5",8.5,Core Windows Hello for Business enforcement. Confirm TPM/security-key inventory per customer before rollout.,mapped,exact,
Baseline - Chrome - Block external extensions from being installed,13_Google_Chrome_CIS_Benchmark,Baseline - Chrome - Block external extensions from being installed,settings_catalog_policy,178,Baseline - Chrome - Block external extensions from being installed,Chrome,L1,Browser Benchmarks,Browser Security (Chrome),CM-11,8.7,Mirrors the Edge control already deployed - direct parity pick.,mapped,exact,
Baseline - Chrome - Configure extension installation allow list,13_Google_Chrome_CIS_Benchmark,Baseline - Chrome - Configure extension installation allow list,settings_catalog_policy,179,Baseline - Chrome - Configure extension installation allow list,Chrome,L1,Browser Benchmarks,Browser Security (Chrome),CM-11,8.7,Pairs with block-external for a default-deny extension model. ⚠ REQUIRES CUSTOMISATION: add customer-approved extension IDs before deploying.,mapped,exact,
Baseline - Chrome - Enable Site Isolation for specified origins,13_Google_Chrome_CIS_Benchmark,Baseline - Chrome - Enable Site Isolation for specified origins,settings_catalog_policy,180,Baseline - Chrome - Enable Site Isolation for specified origins,Chrome,L1,Browser Benchmarks,Browser Security (Chrome),"SC-7, SI-16",8.7,Cross-site/Spectre-class isolation hardening.,mapped,exact,
Baseline - Chrome Password manager and protection configuration,13_Google_Chrome_CIS_Benchmark,Baseline - Chrome Password manager and protection configuration - 1,settings_catalog_policy,181,Baseline - Chrome Password manager and protection configuration,Chrome,L1,Modern Workplace,Browser Security (Chrome),IA-5,8.5,Governs Chrome's built-in password manager behaviour.,mapped,exact,
Baseline - Google Chrome Management,13_Google_Chrome_CIS_Benchmark,Baseline - Google Chrome Management,settings_catalog_policy,182,Baseline - Google Chrome Management,Chrome,L2,Modern Workplace,Browser Security (Chrome),CM-7,8.9,"Broad multi-setting bundle - check for setting overlaps with the individual Chrome policies above before deploying, same conflict-check discipline already applied to BitLocker.",mapped,exact,
Baseline - Cloud Remediation  quick machine recovery,14_Modern_Workplace_and_Resilience,Baseline - Cloud Remediation / quick machine recovery,settings_catalog_policy,188,Baseline - Cloud Remediation (quick machine recovery),Windows 11,L2,Modern Workplace,Resilience & Recovery,"CP-9, CP-10",8.13,Cloud-assisted boot-failure recovery - complements Windows Backup.,mapped,punctuation,
Baseline - Configure Windows protected print,14_Modern_Workplace_and_Resilience,Baseline - Configure Windows protected print,settings_catalog_policy,186,Baseline - Configure Windows protected print,Windows 11,L1,Modern Workplace,Malware Protection,"SI-3, CM-7",8.9,"Print-spooler/driver hardening, relevant given the PrintNightmare-class vulnerability history.",mapped,exact,
Baseline - Enable Windows Backup_2025-09-01T08_19_23.564Z,14_Modern_Workplace_and_Resilience,Baseline - Enable Windows Backup,settings_catalog_policy,187,Baseline - Enable Windows Backup,Windows 11,L2,Modern Workplace,Resilience & Recovery,CP-9,8.13,Endpoint backup/resilience control - first policy in a new Resilience & Recovery domain (NIST CP family).,mapped,punctuation,
Baseline - Windows Subsystem For Linux,14_Modern_Workplace_and_Resilience,Baseline - Windows Subsystem For Linux,settings_catalog_policy,185,Baseline - Windows Subsystem For Linux,Windows 11,L2,Modern Workplace,Linux Endpoint Security,CM-7,8.9,Governs whether/how WSL is enabled. WSL is a common way Linux workloads land on managed Windows endpoints and can bypass Windows-side controls if left unmanaged.,mapped,exact,
Baseline - Windows health monitoring,14_Modern_Workplace_and_Resilience,Baseline - Windows health monitoring,legacy_device_configuration,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
Windows-Server-ASR-Block-Adobe-Reader-Child-Processes,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Adobe-Reader-Child-Processes,settings_catalog_policy,207,Windows-Server-ASR-Block-Adobe-Reader-Child-Processes,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Conditional — only meaningful if Adobe Reader is installed on the server (e.g. RDS Session Host); harmless no-op otherwise.,mapped,exact,
Windows-Server-ASR-Block-Advanced-Ransomware-Protection,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Advanced-Ransomware-Protection,settings_catalog_policy,197,Windows-Server-ASR-Block-Advanced-Ransomware-Protection,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Cloud-based ransomware behaviour protection — confirmed supported on Windows Server 2019+.,mapped,exact,
Windows-Server-ASR-Block-Credential-Stealing-LSASS,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Credential-Stealing-LSASS,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
Windows-Server-ASR-Block-Email-Client-Executable-Content,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Email-Client-Executable-Content,settings_catalog_policy,206,Windows-Server-ASR-Block-Email-Client-Executable-Content,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Blocks executable content from email/webmail. Conditional — only meaningful if the server has a mail/collaboration role (e.g. RDS Session Host); harmless no-op otherwise.,mapped,exact,
Windows-Server-ASR-Block-Executable-Files-Prevalence,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Executable-Files-Prevalence,settings_catalog_policy,204,Windows-Server-ASR-Block-Executable-Files-Prevalence,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,"Blocks execution of files that don't meet a prevalence/age/trust threshold — cloud-protection dependent rule, confirmed supported on Server 2019+.",mapped,exact,
Windows-Server-ASR-Block-Exploited-Signed-Drivers,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Exploited-Signed-Drivers,settings_catalog_policy,198,Windows-Server-ASR-Block-Exploited-Signed-Drivers,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Blocks abuse of known-vulnerable signed drivers (BYOVD attacks) — a common EDR-bypass technique against servers.,mapped,exact,
Windows-Server-ASR-Block-JS-VBScript-Downloaded-Content,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-JS-VBScript-Downloaded-Content,settings_catalog_policy,205,Windows-Server-ASR-Block-JS-VBScript-Downloaded-Content,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Blocks script-launched downloaded executables. Supported on Server 2019+ (not on Server 2016/2012 R2).,mapped,exact,
Windows-Server-ASR-Block-Obfuscated-Scripts,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Obfuscated-Scripts,settings_catalog_policy,200,Windows-Server-ASR-Block-Obfuscated-Scripts,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Blocks execution of obfuscated PowerShell/JS/VBS — confirmed supported on Windows Server 2019+.,mapped,exact,
Windows-Server-ASR-Block-Office-Child-Processes,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Office-Child-Processes,settings_catalog_policy,208,Windows-Server-ASR-Block-Office-Child-Processes,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,"Conditional — only meaningful if Office is installed (e.g. RDS Session Host, SSRS report server); harmless no-op otherwise.",mapped,exact,
Windows-Server-ASR-Block-Office-Communication-Child-Processes,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Office-Communication-Child-Processes,settings_catalog_policy,210,Windows-Server-ASR-Block-Office-Communication-Child-Processes,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Conditional — only meaningful if Outlook/Teams is installed on the server (e.g. RDS Session Host); harmless no-op otherwise.,mapped,exact,
Windows-Server-ASR-Block-Office-Executable-Content,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Office-Executable-Content,settings_catalog_policy,209,Windows-Server-ASR-Block-Office-Executable-Content,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Conditional — only meaningful if Office is installed; harmless no-op otherwise.,mapped,exact,
Windows-Server-ASR-Block-PSExec-WMI-Process-Creation,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-PSExec-WMI-Process-Creation,settings_catalog_policy,201,Windows-Server-ASR-Block-PSExec-WMI-Process-Creation,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Blocks PSExec/WMI-based process creation — mitigates the #1 lateral-movement technique against servers. Confirm RMM/automation tooling compatibility first (see Production Notes #6).,mapped,exact,
Windows-Server-ASR-Block-Safe-Mode-Reboot,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Safe-Mode-Reboot,settings_catalog_policy,199,Windows-Server-ASR-Block-Safe-Mode-Reboot,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,Blocks forced Safe Mode reboots used by ransomware (e.g. Ryuk/Conti-style) to bypass AV/EDR before encrypting — directly relevant to servers.,mapped,exact,
Windows-Server-ASR-Block-Untrusted-USB-Processes,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Untrusted-USB-Processes,settings_catalog_policy,203,Windows-Server-ASR-Block-Untrusted-USB-Processes,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,"Blocks unsigned/untrusted executables launched from USB — lower priority on servers without physical console access, kept for defense-in-depth.",mapped,exact,
Windows-Server-ASR-Block-WMI-Persistence,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-WMI-Persistence,settings_catalog_policy,202,Windows-Server-ASR-Block-WMI-Persistence,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,"Blocks WMI event subscription persistence. Requires Windows Server, Semi-Annual Channel 1903 or later — verify server build before deploying.",mapped,exact,
Windows-Server-ASR-Block-Webshell-Creation-Exchange,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Block-Webshell-Creation-Exchange,settings_catalog_policy,212,Windows-Server-ASR-Block-Webshell-Creation-Exchange,Windows Server,N/A,MDE (Constructed),Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,⚠ CONSTRUCTED — not present in the source repo; hand-built from Microsoft's documented real ASR rule GUID a8f5898e-1dc8-49a9-9878-85004b8a61e6. Recommended only for internet-facing IIS/Exchange servers — see Production Notes #29.,mapped,exact,
Windows-Server-ASR-Enable-Controlled-Folder-Access,15_Defender_for_Endpoint_Windows_Server,Windows-Server-ASR-Enable-Controlled-Folder-Access,settings_catalog_policy,211,Windows-Server-ASR-Enable-Controlled-Folder-Access,Windows Server,L1,CIS,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,"⚠ HIGH — Controlled Folder Access can block legitimate application writes on servers (SQL, IIS, file shares, backup agents). Deploy in Audit mode first and review for 2-4 weeks before considering Block — see Production Notes #29.",mapped,exact,
Windows-Server-Defender-Antivirus,15_Defender_for_Endpoint_Windows_Server,Windows-Server-Defender-Antivirus,settings_catalog_policy,191,Windows-Server-Defender-Antivirus,Windows Server,L1,MDE,Malware Protection,"SI-3, SI-2, SI-7","8.7, 8.8","Same 33-setting AV policy as the client baseline, retargeted at Windows Server 2019+ device group.",mapped,exact,
Windows-Server-Defender-Device-Tag,15_Defender_for_Endpoint_Windows_Server,Windows-Server-Defender-Device-Tag,legacy_device_configuration,195,Windows-Server-Defender-Device-Tag,Windows Server,L1,MDE,Malware Protection,"SI-3, SI-2, SI-7","8.7, 8.8",Tags the device as a server asset in Defender for Endpoint for correct grouping and reporting.,mapped,exact,
Windows-Server-Defender-Enable-File-Hash-Computation,15_Defender_for_Endpoint_Windows_Server,Windows-Server-Defender-Enable-File-Hash-Computation,settings_catalog_policy,193,Windows-Server-Defender-Enable-File-Hash-Computation,Windows Server,L2,CIS,Malware Protection,"SI-3, SI-2, SI-7","8.7, 8.8",Enables file hash computation for AV/EDR correlation on server workloads.,mapped,exact,
Windows-Server-Defender-Security-Experience,15_Defender_for_Endpoint_Windows_Server,Windows-Server-Defender-Security-Experience,settings_catalog_policy,192,Windows-Server-Defender-Security-Experience,Windows Server,L1,MDE,Malware Protection,"SI-3, SI-2, SI-7","8.7, 8.8","Windows Security app / notification configuration — present on Server 2019+, lower priority on headless servers but harmless to deploy.",mapped,exact,
Windows-Server-Defender-Update-Controls,15_Defender_for_Endpoint_Windows_Server,Windows-Server-Defender-Update-Controls,settings_catalog_policy,194,Windows-Server-Defender-Update-Controls,Windows Server,L1,MDE,Malware Protection,"SI-3, SI-2, SI-7","8.7, 8.8",Engine / platform / security-intelligence update channel configuration for server.,mapped,exact,
accessibility,16_Defender_for_Endpoint_macOS,accessibility,macos_custom_configuration,218,accessibility.mobileconfig — Accessibility access,macOS,N/A,Microsoft (mdatp-xplat),Privacy & Data Governance,CM-7,8.9,Grants Accessibility permission to com.microsoft.dlp.daemon. Only required if deploying Microsoft Purview DLP for Endpoint alongside MDE — harmless if DLP isn't in scope yet.,mapped,punctuation,
background_services,16_Defender_for_Endpoint_macOS,background_services,macos_custom_configuration,216,background_services.mobileconfig — Managed Login Items,macOS,N/A,Microsoft (mdatp-xplat),UAC & Privileged Access,"AC-6, IA-2, AC-3",8.2,"Prevents the user from disabling Defender's background daemons via Login Items (macOS 13 Ventura+ requirement). Without it, a local admin can silently turn off protection.",mapped,punctuation,
bluetooth,16_Defender_for_Endpoint_macOS,bluetooth,macos_custom_configuration,219,bluetooth.mobileconfig — Bluetooth permission,macOS,N/A,Microsoft (mdatp-xplat),Removable Media & USB,"MP-7, CM-7, SI-3","8.7, 8.9",Grants Bluetooth access to com.microsoft.dlp.agent (macOS 14 Sonoma+). Only required for DLP Bluetooth device-control scenarios — harmless if DLP isn't in scope yet.,mapped,punctuation,
com.microsoft.autoupdate2,16_Defender_for_Endpoint_macOS,com.microsoft.autoupdate2,macos_custom_configuration,220,com.microsoft.autoupdate2.mobileconfig — Microsoft AutoUpdate,macOS,N/A,Microsoft (mdatp-xplat),Patch Management,"SI-2, CM-6",8.8,Configures MAU update channel (Current Channel / Production) so Defender itself stays current without relying on end users.,mapped,punctuation,
com.microsoft.wdav,16_Defender_for_Endpoint_macOS,com.microsoft.wdav,macos_custom_configuration,221,com.microsoft.wdav.mobileconfig — Antivirus configuration (Recommended profile),macOS,N/A,Microsoft (mdatp-xplat),Malware Protection,"SI-3, SI-2, SI-7","8.7, 8.8","Real-time protection, cloud-delivered protection with automatic sample submission, PUA blocked, archive bombs audited, Tamper Protection set to block. This is Microsoft's documented 'Recommended' starting profile, not the maximalist 'Full' profile — consistent with this baseline's functional-but-secure philosophy.",mapped,punctuation,
firewall,16_Defender_for_Endpoint_macOS,firewall,macos_custom_configuration,222,"firewall.mobileconfig — Application Firewall (Enforced) [Apple native, not Microsoft]",macOS,N/A,Apple (device-management repo),Firewall,SC-7,8.20,"Forces the built-in macOS Application Firewall on with Stealth Mode enabled (hides the device from network probes/port scans). Block All Incoming left OFF by default to avoid breaking legitimate file/screen sharing services — flip to true for a stricter posture. Built from Apple's official device-management payload spec (com.apple.security.firewall), not part of Defender for Endpoint.",mapped,punctuation,
fulldisk,16_Defender_for_Endpoint_macOS,fulldisk,macos_custom_configuration,214,fulldisk.mobileconfig — Full Disk Access (PPPC),macOS,N/A,Microsoft (mdatp-xplat),Malware Protection,"SI-3, SI-2, SI-7","8.7, 8.8","Grants SystemPolicyAllFiles to com.microsoft.wdav, .epsext, and com.microsoft.dlp.daemon via TCC profile. Required for real-time scanning — without it, Defender can see almost nothing on disk. Not reflected in System Settings UI when granted via MDM (expected).",mapped,punctuation,
netfilter,16_Defender_for_Endpoint_macOS,netfilter,macos_custom_configuration,215,netfilter.mobileconfig — Network Filter approval,macOS,N/A,Microsoft (mdatp-xplat),Network Security,"SC-8, CM-7, IA-3","8.20, 8.9, 8.5",Approves Defender's network extension for Network Protection / web threat filtering. Only one network filter config is supported per device — check for conflicts with any other MDM network extension before deploying.,mapped,punctuation,
notif,16_Defender_for_Endpoint_macOS,notif,macos_custom_configuration,217,notif.mobileconfig — Notifications,macOS,N/A,Microsoft (mdatp-xplat),Malware Protection,"SI-3, SI-2, SI-7","8.7, 8.8",Allows com.microsoft.wdav.tray to surface threat/status notifications to the signed-in user.,mapped,punctuation,
sysext,16_Defender_for_Endpoint_macOS,sysext,macos_custom_configuration,213,sysext.mobileconfig — System Extensions approval,macOS,N/A,Microsoft (mdatp-xplat),Identity & Account Control,"AC-2, IA-8, AC-3","5.16, 8.3","Approves Defender's Endpoint Security (com.microsoft.wdav.epsext) and Network (com.microsoft.wdav.netext) system extensions under Team ID UBF8T346G9. Without this, macOS blocks the extensions and Defender cannot run.",mapped,punctuation,
